Date,Open,High,Low,Close,Volume,Subjectivity,Polarity
2008-08-08,11432.089844,11759.959961,11388.040039,11734.320312,212830000,0.26754863910036325,-0.04856819425784943
2008-08-11,11729.669922,11867.110352,11675.530273,11782.349609,183190000,0.3748059542796385,0.12195640616693249
2008-08-12,11781.700195,11782.349609,11601.519531,11642.469727,173590000,0.5362343674843675,-0.04430164742664744
2008-08-13,11632.80957,11633.780273,11453.339844,11532.959961,182550000,0.36402116402116397,0.01139770723104056
2008-08-14,11532.070312,11718.280273,11450.889648,11615.929688,159790000,0.3750992063492063,0.04067685786435787
2008-08-15,11611.209961,11709.889648,11599.730469,11659.900391,215040000,0.4576923076923076,0.04775641025641026
2008-08-18,11659.650391,11690.429688,11434.120117,11479.389648,156290000,0.4859945609945609,0.016758935508935504
2008-08-19,11478.089844,11478.169922,11318.5,11348.549805,171580000,0.34523007856341187,-0.025813692480359147
2008-08-20,11345.94043,11454.150391,11290.580078,11417.429688,144880000,0.21847041847041848,0.03838383838383839
2008-08-21,11415.230469,11476.209961,11315.570312,11430.209961,130020000,0.25833333333333336,0.049074074074074076
2008-08-22,11426.790039,11632.129883,11426.790039,11628.05957,138790000,0.30871212121212116,0.08011363636363637
2008-08-25,11626.19043,11626.269531,11362.629883,11386.25,148610000,0.5132587412587413,-0.08321212121212118
2008-08-26,11383.55957,11436.240234,11340.410156,11412.870117,119800000,0.3761904761904762,0.034424603174603184
2008-08-27,11412.459961,11554.459961,11381.769531,11502.509766,120580000,0.3662280701754386,-0.00011961722488037186
2008-08-28,11499.870117,11715.179688,11499.790039,11715.179688,149150000,0.2290184453227932,-0.01966403162055336
2008-08-29,11713.230469,11713.230469,11543.389648,11543.959961,166910000,0.3068181818181818,-0.06444559228650137
2008-09-02,11545.629883,11790.169922,11471.900391,11516.919922,177090000,0.34970238095238093,-0.017261904761904756
2008-09-03,11506.009766,11554.379883,11416.530273,11532.879883,174250000,0.29068863235529896,0.003595478595478582
2008-09-04,11532.480469,11532.480469,11176.019531,11188.230469,229200000,0.3704545454545454,-0.08497474747474744
2008-09-05,11185.629883,11245.150391,11037.849609,11220.959961,198300000,0.29928571428571427,0.03714285714285715
2008-09-08,11224.870117,11570.660156,11224.790039,11510.740234,273000000,0.3355841018884496,-0.11931269213877913
2008-09-09,11514.730469,11577.5,11230.730469,11230.730469,257300000,0.406191222570533,-0.05564263322884014
2008-09-10,11233.910156,11380.629883,11215.259766,11268.919922,214260000,0.4755952380952382,0.0005952380952381055
2008-09-11,11264.44043,11445.679688,11098.669922,11433.709961,247820000,0.3539285714285715,0.07089285714285713
2008-09-12,11429.320312,11459.929688,11280.400391,11421.990234,238890000,0.3642725960907779,0.011061917880099692
2008-09-15,11416.370117,11416.450195,10917.509766,10917.509766,432970000,0.3598739495798319,-0.032983193277310925
2008-09-16,10905.620117,11093.219727,10742.700195,11059.019531,494760000,0.4395061728395062,-0.051945379723157506
2008-09-17,11056.580078,11057.30957,10595.900391,10609.660156,463200000,0.36503787878787886,-0.09276988636363637
2008-09-18,10609.009766,11076.44043,10459.44043,11019.69043,488060000,0.41060568086883875,0.046098579782790305
2008-09-19,11027.509766,11483.049805,11026.700195,11388.44043,655110000,0.3875,0.026171874999999997
2008-09-22,11394.419922,11394.580078,10992.200195,11015.69043,213210000,0.2952058175742386,-0.01072188045872257
2008-09-23,11015.69043,11143.209961,10833.94043,10854.169922,204480000,0.29444444444444445,-0.1166666666666667
2008-09-24,10850.019531,10928.400391,10753.570312,10825.169922,183630000,0.3669944789510006,-0.09618702553485163
2008-09-25,10827.169922,11129.19043,10827.009766,11022.05957,218530000,0.3454545454545454,-0.04112554112554112
2008-09-26,11019.040039,11168.05957,10868.820312,11143.129883,232560000,0.2780808080808081,0.0724242424242424
2008-09-29,11139.620117,11139.94043,10365.450195,10365.450195,385940000,0.3552228635561969,0.029437229437229435
2008-09-30,10371.580078,10868.900391,10371.419922,10850.660156,319770000,0.3792787569573285,0.09881338899196042
2008-10-01,10847.400391,10882.519531,10631.950195,10831.070312,256670000,0.5089341692789969,0.1743469174503657
2008-10-02,10825.540039,10825.540039,10439.519531,10482.849609,395330000,0.3456969696969696,0.16324242424242424
2008-10-03,10483.959961,10796.259766,10310.25,10325.379883,299690000,0.39752284752284756,-0.03813532146865481
2008-10-06,10322.519531,10322.759766,9525.320312,9955.5,391460000,0.24833333333333335,0.06578787878787877
2008-10-07,9955.419922,10124.030273,9436.669922,9447.110352,362520000,0.26796085858585855,-0.07107007575757578
2008-10-08,9437.230469,9628.070312,9194.780273,9258.099609,479270000,0.3353683897801545,0.00010398098633392982
2008-10-09,9261.69043,9448.139648,8579.19043,8579.19043,436740000,0.29977043158861344,-0.07143250688705235
2008-10-10,8568.669922,8901.280273,7882.509766,8451.19043,674920000,0.24228778467908904,0.017184265010351963
2008-10-13,8462.419922,9427.990234,8462.179688,9387.610352,399290000,0.48160009182736463,0.07499139118457299
2008-10-14,9388.969727,9794.370117,9085.429688,9310.990234,412740000,0.4606376262626262,0.08440656565656568
2008-10-15,9301.910156,9308.759766,8530.120117,8577.910156,374350000,0.3785353535353535,0.03800505050505051
2008-10-16,8577.040039,9013.269531,8197.669922,8979.259766,422450000,0.2771520146520146,0.002968559218559219
2008-10-17,8975.349609,9281.120117,8718.25,8852.219727,360600000,0.3798164181497514,0.04702340869007536
2008-10-20,8852.299805,9266.629883,8852.219727,9265.429688,241400000,0.3592599067599068,0.0980827505827506
2008-10-21,9262.799805,9284.549805,9004.269531,9033.660156,231160000,0.34116462241462236,0.052696608946608936
2008-10-22,9027.839844,9027.839844,8335.299805,8519.209961,348840000,0.479421768707483,0.15748453927025355
2008-10-23,8519.769531,8795.990234,8243.549805,8691.25,340740000,0.4256256764069264,-0.03420589826839827
2008-10-24,8683.209961,8683.209961,8187.47998,8378.950195,335680000,0.2686631944444444,-0.06657986111111111
2008-10-27,8375.919922,8599.099609,8143.589844,8175.77002,281180000,0.5251133786848072,-0.07825963718820861
2008-10-28,8178.720215,9082.080078,8174.72998,9065.120117,372160000,0.4102272727272727,-0.028219696969696947
2008-10-29,9062.330078,9363.320312,8890.290039,8990.959961,316230000,0.42649572649572665,0.04349261849261848
2008-10-30,9004.660156,9266.469727,8976.870117,9180.69043,267210000,0.4433574879227052,-0.12270531400966185
2008-10-31,9179.089844,9454.360352,9119.200195,9325.009766,310950000,0.29634581105169344,-0.018694295900178258
2008-11-03,9326.040039,9410.549805,9255.480469,9319.830078,180970000,0.2392255892255892,0.002539281705948368
2008-11-04,9323.889648,9653.950195,9323.889648,9625.280273,254930000,0.2502688172043011,-0.0018817204301075194
2008-11-05,9616.599609,9616.599609,9111.469727,9139.269531,264640000,0.4643419913419912,0.012259740259740245
2008-11-06,9134.009766,9155.44043,8637.169922,8695.790039,344350000,0.3743333333333333,0.008125000000000007
2008-11-07,8696.030273,8961.570312,8696.030273,8943.80957,246300000,0.5419995877138734,0.022859891431319983
